Year,Position,Number,Draw,Name,Days-since-last-run,Previous-performances,Course-winner,Distance-winner,Odds(decimal),Form,Num-of-wins-in-last-3-starts,Result-last-start,Placed-Last-Time-Out,Won-Last-Time-Out,Age,Weight(pounds),Rating,Trainer,Jockey,Distances(lenghts),Going,Profitable
2015,13,12,9,Tapestry (IRE),21,D,No,Yes,34,621902,0,2,Yes,No,4,128,118,A P O'Brien,Joseph O'Brien,,Good,0
2015,14,14,17,Silverwave (FR),21,C,Yes,No,101,119442,0,2,Yes,No,3,123,,A Couetil,James Doyle,,Good,0
2015,15,15,4,Erupt (IRE),21,D,No,Yes,26,111114,2,4,No,No,3,123,,F Graffard,S Pasquier,,Good,0
2015,16,17,2,Shahah,20,,No,No,251,10545,0,5,No,No,3,120,77,Mme C Head-Maarek,Gregory Benoist,,Good,0
2015,17,18,15,Found (IRE),22,C,Yes,No,19,122212,1,2,Yes,No,3,120,113,A P O'Brien,R L Moore,,Good,0
2015,0,4,16,Meleagros (IRE),35,D,No,Yes,101,111544,0,4,No,No,6,131,,A Couetil,A Fouassier,,Good,0
2014,1,8,3,Treve (FR),21,BF,No,No,12,111234,0,4,No,No,4,128,130,Mme C Head-Maarek,T Jarnet,0,Good,1
2014,2,1,4,Flintshire,21,BF,No,No,17,148242,0,2,Yes,No,4,131,119,A Fabre,M Guyon,,Good,1
2014,3,18,15,Taghrooda,45,BF,No,No,5.5,11112,2,2,Yes,No,3,120,124,J & T Gosden,P Hanagan,,Good,1
2014,4,14,20,Kingston Hill,22,,No,No,26,118241,1,1,Yes,Yes,3,123,120,R Varian,Andrea Atzeni,,Good,1
2014,5,17,5,Dolniya (FR),21,D,No,Yes,17,21113,2,3,Yes,No,3,120,,A de Royer-Dupre,C Soumillon,,Good,1
2014,6,19,12,Harp Star (JPN),42,,No,No,9,121121,2,1,Yes,Yes,3,120,,H Matsuda,Yuga Kawada,,Good,1
2014,7,13,9,Prince Gibraltar (FR),51,,No,No,29,111323,0,3,Yes,No,3,123,,J C Rouget,J B Eyquem,,Good,0
2014,8,7,14,Just A Way (JPN),119,,No,No,8,221111,3,1,Yes,Yes,5,131,,N Sugai,Y Fukunaga,,Good,0
2014,9,2,6,Ruler Of The World (IRE),21,D,No,Yes,13,527301,1,1,Yes,Yes,4,131,122,A P O'Brien,L Dettori,,Good,0
2014,10,3,7,Al Kazeem,22,D,No,Yes,67,326415,1,5,No,No,6,131,115,R Charlton,James Doyle,,Good,0
2014,11,16,1,Avenir Certain (FR),47,C,Yes,No,9,111111,3,1,Yes,Yes,3,120,,J C Rouget,C P Lemaire,,Good,0
2014,12,10,16,Siljan's Saga (FR),21,D,No,Yes,101,543127,1,7,No,No,4,128,,J P Gauvin,P C Boudot,,Good,0
